Date,Open,High,Low,Close,Volume
2005-01-03,121.559998,121.760002,119.900002,120.300003,55748000
2005-01-04,120.459999,120.540001,118.440002,118.830002,69167600
2005-01-05,118.739998,119.25,118,118.010002,65667300
2005-01-06,118.440002,119.150002,118.260002,118.610001,47814700
2005-01-07,118.970001,119.230003,118.129997,118.440002,55847700
2005-01-08,118.339996,119.459999,118.339996,119,56563300
2005-01-09,118.639999,118.739998,117.989998,118.18,63099700
2005-01-10,118.400002,118.839996,117.519997,118.57,72720500
2005-01-11,118.639999,118.730003,117.5,117.620003,55537500
2005-01-12,117.970001,118.529999,117.760002,118.239998,42032500
2005-01-13,118.050003,119.620003,117.949997,119.470001,57391700
2005-01-14,119.43,119.519997,118.209999,118.220001,54378900
2005-01-15,117.889999,118.199997,117.290001,117.5,72049300
2005-01-16,117.790001,118,116.650002,116.779999,63160400
2005-01-17,117.089996,117.339996,116.370003,116.550003,58441900
2005-01-18,116.910004,117.470001,116.720001,116.879997,68245000
2005-01-19,117.32,117.599998,117.040001,117.230003,57195100
2005-01-20,117.190002,117.75,116.980003,117.43,55878800
2005-01-21,117.489998,117.550003,116.610001,117.43,60738900
2005-01-22,117.949997,118.25,117.709999,118.160004,52532700
2005-01-23,118.25,119.080002,118.099998,118.910004,49841200
2005-01-24,119.059998,119.589996,118.900002,119.269997,52468900
2005-01-25,119.059998,119.160004,118.57,118.959999,48837100
2005-01-26,119,120.43,118.980003,120.230003,50024600
2005-01-27,120.25,120.519997,119.959999,120.07,45412000
2005-01-28,120.169998,120.650002,120.07,120.209999,39263500
2005-01-29,120.419998,120.489998,119.25,119.309998,55279400
2005-01-30,119.660004,120.019997,119.260002,119.739998,45858600
2005-01-31,119.699997,121.040001,119.459999,120.769997,53133000
2005-02-01,120.690002,120.860001,120.480003,120.68,32432100
2005-02-02,120.800003,121.43,120.68,121.129997,43852700
2005-02-03,120.93,121.459999,120.669998,121.209999,55523000
2005-02-04,121.230003,121.330002,120.220001,120.230003,58124000
2005-02-05,120.239998,120.480003,119.900002,120.389999,47723300
2005-02-06,119.900002,120.470001,118.580002,118.599998,80697600
2005-02-07,118.93,119.57,118.620003,119.449997,68292600
2005-02-08,119.239998,120.32,118.980003,120.239998,68563600
2005-02-09,120.269997,121.669998,120.18,121.43,60899900
2005-02-10,121.150002,121.300003,120.040001,120.629997,69381300
2005-02-11,120.82,121.519997,120.779999,121.230003,47294400
2005-02-12,120.760002,121.93,120.650002,121.169998,64226500
2005-02-13,121.660004,121.900002,120.699997,121.220001,61230800
2005-02-14,122.050003,122.830002,121.790001,122.730003,56168500
2005-02-15,122.660004,123.25,122.400002,122.790001,43442400
